id,faculty_id,name,acronym,course_type,year,url,plan_url,last_updated
617,feup,Mestrado em Engenharia Biomédica,MEB,M,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=617,cur_geral.cur_planos_estudos_view?pv_plano_id=617&pv_ano_lectivo=2025,2026-05-22 08:44:00.486211
638,feup,Programa Doutoral em Media Digitais,PDMD,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=638,cur_geral.cur_planos_estudos_view?pv_plano_id=638&pv_ano_lectivo=2025,2026-05-22 08:46:00.810542
639,feup,Programa Doutoral em Segurança e Saúde Ocupacionais,DEMSSO,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=639,cur_geral.cur_planos_estudos_view?pv_plano_id=639&pv_ano_lectivo=2025,2026-05-22 08:45:16.302330
679,feup,Programa Doutoral em Engenharia Informática,PRODEI,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=679,cur_geral.cur_planos_estudos_view?pv_plano_id=679&pv_ano_lectivo=2025,2026-05-22 08:45:37.108188
680,feup,Programa Doutoral em Engenharia Mecânica,PRODEM,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=680,cur_geral.cur_planos_estudos_view?pv_plano_id=680&pv_ano_lectivo=2025,2026-05-22 08:45:24.372722
681,feup,Programa Doutoral em Engenharia Biomédica,PRODEB,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=681,cur_geral.cur_planos_estudos_view?pv_plano_id=681&pv_ano_lectivo=2025,2026-05-22 08:46:21.911857
682,feup,Programa Doutoral em Engenharia Electrotécnica e de Computadores,PDEEC,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=682,cur_geral.cur_planos_estudos_view?pv_plano_id=682&pv_ano_lectivo=2025,2026-05-22 08:46:00.189434
683,feup,Programa Doutoral em Engenharia e Gestão Industrial,PRODEGI,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=683,cur_geral.cur_planos_estudos_view?pv_plano_id=683&pv_ano_lectivo=2025,2026-05-22 08:45:51.556476
684,feup,Programa Doutoral em Engenharia Química e Biológica,PDEQB,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=684,cur_geral.cur_planos_estudos_view?pv_plano_id=684&pv_ano_lectivo=2025,2026-05-22 08:46:11.984867
685,feup,Programa Doutoral em Engenharia Civil,PRODEC,D,2025,https://sigarra.up.pt/feup/pt/cur_geral.cur_view?pv_ano_lectivo=2025&pv_curso_id=685,cur_geral.cur_planos_estudos_view?pv_plano_id=685&pv_ano_lectivo=2025,2026-05-22 08:46:11.541465
